text,neutral,positive,negative,compound,Sentiment
congratulations droupadi murmu madam inaugurate indian institute information technology ,0.0,0.672,0.328,0.5994,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
papisznn davidhundeyin referring fg nigeria hoping could build fund world class univers ,0.0,0.797,0.203,0.4215,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
rt iitjodhpur iit jodhpur organized outreach activity 40 navodaya vidyalaya girls studying std xii selected ,0.0,0.87,0.13,0.2732,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt vishforge it always indian institute technology right good see getting acts together but really ,0.0,0.878,0.122,0.2382,Positive
rt iitjodhpur iit jodhpur organized outreach activity 40 navodaya vidyalaya girls studying std xii selected ,0.0,0.87,0.13,0.2732,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
feel proud announce presence indian institute technology bombay today e cell iit mumbai build e ,0.0,0.819,0.181,0.4767,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
govt job for m pharm msc join indian institute technology govtjob jobalert jobopenings jobopportunity ,0.0,0.855,0.145,0.296,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
rt dhealthmaster govt job for m pharm msc join indian institute technology govtjob jobalert jobopenings jobopportunity mpha ,0.0,0.879,0.121,0.296,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
iit jodhpur organized outreach activity 40 navodaya vidyalaya girls studying std xii selected un ,0.0,0.861,0.139,0.2732,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
it always indian institute technology right good see getting acts together but r ,0.0,0.86,0.14,0.2382,Positive
i also dream indian institute technology iit picturesque serene quite location ledo ,0.0,0.542,0.458,0.765,Positive
rt pinkstannnn huhu congratulations my girls bornpink 1 billboard 200 congratulations blackpink recordbreakerbornpink blackpink ,0.0,0.606,0.394,0.8316,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
spike protein vaccines may effective multiple variants coronavirus sars cov 2 according ,0.0,0.78,0.22,0.4767,Positive
tapapriyo bobby_almost 3 many popular indonesian names indian origin aditya chandra wijaya ci ,0.0,0.811,0.189,0.4215,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
